MAE,RMSE,WAPE,sMAPE,dataset,fold,model,WAPE_CI_low,WAPE_CI_high,flows,rows,step_minutes,lookback_steps,horizon_steps,train_windows,val_windows,test_windows,constant_flows,ensemble_weights,train_summary
4753.4384765625,11641.0283203125,16.527631759643555,29.082595825195312,Abilene,3,Persistence,16.017367879169342,17.01788310641553,144,2880,5,72,12,26784,3456,3456,0,{},{}
6460.6455078125,14814.064453125,22.463563919067383,38.03667449951172,Abilene,3,Seasonal naive,22.000441394800657,23.045451432976307,144,2880,5,72,12,26784,3456,3456,0,{},{}
4409.0654296875,10244.630859375,15.330251693725586,29.035564422607422,Abilene,3,PatchTST-Small,14.894946845246087,15.85882514751757,144,2880,5,72,12,26784,3456,3456,0,{},"{""best_val_huber"": 0.19174815714359283, ""epochs_run"": 2.0, ""final_train_huber"": 0.18762749839427223}"
4127.76220703125,8833.91015625,14.352165222167969,27.835845947265625,Abilene,3,N-BEATS-Small,13.951710681688311,14.790389549911518,144,2880,5,72,12,26784,3456,3456,0,{},"{""best_val_huber"": 0.17413005232810974, ""epochs_run"": 2.0, ""final_train_huber"": 0.16114033689208354}"
4686.23681640625,11258.7294921875,16.29397201538086,29.768129348754883,Abilene,3,TimesNet-Small,15.879633145778442,16.861507379243122,144,2880,5,72,12,26784,3456,3456,0,{},"{""best_val_huber"": 0.20550645887851715, ""epochs_run"": 2.0, ""final_train_huber"": 0.19709822742030328}"
4153.83544921875,8866.091796875,14.44282054901123,28.024211883544922,Abilene,3,N-HiTS-Small,14.13668710544398,14.781590326888256,144,2880,5,72,12,26784,3456,3456,0,{},"{""best_val_huber"": 0.17576174437999725, ""epochs_run"": 2.0, ""final_train_huber"": 0.16485533002528097}"
4620.2919921875,10592.455078125,16.064682006835938,29.1066951751709,Abilene,3,All-flow WRTCN,15.492042851772352,16.636120105288256,144,2880,5,72,12,26784,3456,3456,0,{},"{""best_val_huber"": 0.17850354313850403, ""epochs_run"": 2.0, ""final_train_huber"": 0.16626149253962003}"
4836.40673828125,11511.935546875,16.81610870361328,31.188804626464844,Abilene,3,GraphAttention-Small,16.278729982922506,17.369092529371198,144,2880,5,72,12,26784,3456,3456,0,{},"{""best_val_huber"": 0.20994161069393158, ""epochs_run"": 2.0, ""final_train_huber"": 0.20316752791404724}"
4132.0263671875,8897.7998046875,14.366990089416504,27.614519119262695,Abilene,3,SCALE-TM neural ensemble,13.990635609024187,14.733518649854329,144,2880,5,72,12,26784,3456,3456,0,"{""Damped persistence"": 0.20000000298023224, ""N-BEATS-Small"": 0.5, ""N-HiTS-Small"": 0.20000000298023224, ""NLinear"": 0.10000000149011612}",{}
4132.0263671875,8897.7998046875,14.366990089416504,27.614519119262695,Abilene,3,SCALE-TM no-WRTCN ensemble,14.020526139239992,14.780881225525595,144,2880,5,72,12,26784,3456,3456,0,"{""Damped persistence"": 0.20000000298023224, ""N-BEATS-Small"": 0.5, ""N-HiTS-Small"": 0.20000000298023224, ""NLinear"": 0.10000000149011612}",{}
